uri,metadata_comment
"*whoami*",
"*cmd*",
"*powershell*",
"*bash*",
"*shell*",
"*python*",
"*ssh*",
"*id_rsa*",
"*authorized_keys*",
"*curl*",
"*wget*",
"*certutil*",
"*ipconfig*",
"*../../*",
"*%252e%252e*",
"*..%252f..%252f*",
"*..%c0%af..%c0%af*",
"*passwd*",
"*shadow*",
"*hosts*",
"*.conf*",
"*={{*",
"*=%7B%7B*",
"*=$%7B*",
"*select*",
"*1=1*",
"*table_schema*",
"*database*",
"*concat*",
"*.git/*",
"*htpasswd*",
